Car_Name,Manufacturer,Year,Kms_Driven,Fuel_Type,Seller_Type,Transmission,No_Of_Owners,Present_Price,Selling_Price,Insurance
Maruti Suzuki Alto Lxi,Maruti,2012,82000,Petrol,Individual,Manual,2,"3,60,000","1,45,000",No
Maruti Suzuki Alto Lxi,Maruti,2013,80000,Petrol,Individual,Manual,2,"3,50,000","1,85,000",No
Maruti Suzuki Alto Lxi,Maruti,2014,75000,Petrol,Individual,Manual,2,"3,50,000","2,10,000",No
Maruti Suzuki Alto Lxi,Maruti,2014,80000,Petrol,Dealer,Manual,2,"3,50,000","2,30,000",No
Maruti Suzuki Alto k10,Maruti,2014,85000,Petrol,Dealer,Manual,1,"3,80,000","2,50,000",No
Maruti Suzuki Alto Lxi,Maruti,2015,85000,Petrol,Individual,Manual,1,"3,80,000","2,10,000",No
Maruti Suzuki Alto K10,Maruti,2015,70000,Petrol,Individual,Manual,2,"3,80,000","2,25,000",No
Maruti Suzuki Alto Lxi,Maruti,2016,80000,Petrol,Individual,Manual,1,"3,95,000","2,30,000",No
Maruti Suzuki Alto Lxi,Maruti,2017,80000,Petrol,Individual,Manual,1,"3,95,000","2,40,000",No
Maruti Suzuki Alto Lxi,Maruti,2017,35000,Petrol,Individual,Manual,1,"3,99,000","3,00,000",No
Maruti Suzuki Alto Lxi,Maruti,2018,50000,Petrol,Individual,Manual,1,"4,00,000","3,15,000",No
Maruti Suzuki Alto Lxi,Maruti,2019,50000,Petrol,Individual,Manual,1,"4,00,000","3,20,000",No
Maruti Suzuki Alto Lxi,Maruti,2020,42000,Petrol,Individual,Manual,1,"4,00,000","3,30,000",No
Maruti Suzuki Alto Lxi,Maruti,2021,50000,Petrol,Individual,Manual,1,"4,20,000","3,60,000",No
Maruti Suzuki Alto Lxi,Maruti,2011,75000,Petrol,Individual,Manual,1,"3,50,000","1,25,000",Yes
Maruti Suzuki Alto Lxi,Maruti,2012,80000,Petrol,Individual,Manual,1,"3,50,000","1,30,000",Yes
Maruti Suzuki Alto Lxi,Maruti,2013,75000,Petrol,Individual,Manual,1,"3,60,000","1,35,000",Yes
Maruti Suzuki Alto Lxi,Maruti,2014,85000,Petrol,Individual,Manual,2,"3,60,000","2,11,000",Yes
Maruti Suzuki Alto Lxi,Maruti,2015,80000,Petrol,Individual,Manual,2,"3,80,000","2,31,000",Yes
Maruti Suzuki Swift Dzire Ldi,Maruti,2008,100000,Diesel,Individual,Manual,2,"7,50,000","2,50,000",No
Maruti Suzuki Swift Dzire Ldi,Maruti,2008,95000,Diesel,Dealer,Manual,2,"7,50,000","2,65,000",Yes
Maruti Suzuki Swift Dzire Vdi,Maruti,2008,85000,Diesel,Individual,Manual,2,"7,75,000","2,75,000",No
Maruti Suzuki Swift Dzire Zdi,Maruti,2008,95000,Diesel,Individual,Manual,2,"8,50,000","2,80,000",No
Maruti Suzuki Swift Dzire Lxi,Maruti,2008,82000,Petrol,Individual,Manual,1,"6,60,000","2,35,000",No
Maruti Suzuki Swift Dzire Vxi,Maruti,2008,95000,Petrol,Individual,Manual,2,"6,70,000","2,37,000",No
Maruti Suzuki Swift Dzire Zxi,Maruti,2008,79000,Petrol,Individual,Manual,2,"7,70,000","2,40,000",No
Maruti Suzuki Swift Dzire Lxi,Maruti,2008,89000,Petrol,Dealer,Manual,2,"6,60,000","2,40,000",Yes
Maruti Suzuki Swift Dzire Ldi,Maruti,2009,76000,Diesel,Individual,Manual,1,"7,50,000","2,52,000",No
Maruti Suzuki Swift Dzire Ldi,Maruti,2009,85000,Diesel,Dealer,Manual,2,"7,50,000","2,67,000",Yes
Maruti Suzuki Swift Dzire Vdi,Maruti,2009,90000,Diesel,Individual,Manual,2,"7,75,000","2,77,000",No
Maruti Suzuki Swift Dzire Zdi,Maruti,2009,95000,Diesel,Individual,Manual,2,"8,50,000","2,83,000",No
Maruti Suzuki Swift Dzire Lxi,Maruti,2009,99000,Petrol,Individual,Manual,2,"6,60,000","2,40,000",No
Maruti Suzuki Swift Dzire Vxi,Maruti,2009,92000,Petrol,Individual,Manual,2,"6,70,000","2,41,000",No
Maruti Suzuki Swift Dzire Zxi,Maruti,2009,95000,Petrol,Individual,Manual,2,"7,56,000","2,60,000",No
Maruti Suzuki Swift Dzire Lxi,Maruti,2009,96000,Petrol,Dealer,Manual,1,"6,60,000","2,40,000",Yes
Maruti Suzuki Swift Dzire Ldi,Maruti,2010,100000,Diesel,Individual,Manual,1,"7,52,000","2,80,000",No
Maruti Suzuki Swift Dzire Ldi,Maruti,2010,99000,Diesel,Dealer,Manual,1,"7,52,000","2,90,000",Yes
Maruti Suzuki Swift Dzire Vdi,Maruti,2010,85000,Diesel,Individual,Manual,2,"7,60,000","2,85,000",No
Maruti Suzuki Swift Dzire Zdi,Maruti,2010,110000,Diesel,Individual,Manual,1,"9,00,000","3,20,000",No
Maruti Suzuki Swift Dzire Lxi,Maruti,2010,89000,Petrol,Individual,Manual,2,"6,70,000","2,39,000",No
Maruti Swift Dzire Vxi,Maruti,2010,80000,Petrol,Individual,Manual,1,"6,80,000","2.50,000",No
Maruti Suzuki Swift Dzire Zxi,Maruti,2010,90000,Petrol,Individual,Manual,1,"7,70,000","2,70,000",No
Maruti Suzuki Swift Dzire Ldi,Maruti,2011,105000,Diesel,Individual,Manual,1,"7,80,000","3,10,000",Yes
Maruti Suzuki Swift Dzire Ldi,Maruti,2011,100000,Diesel,Dealer,Manual,1,"7,50,000","3,25,000",No
Maruti  Suzuki Swift Dzire Vdi,Maruti,2011,99000,Diesel,Individual,Manual,1,"8,50,000","3,30,000",No
Maruti Suzuki Swift Dzire Zdi,Maruti,2011,85000,Diesel,Individual,Manual,1,"9,50,000","3,50,000",No
Maruti Suzuki Swift Dzire Lxi,Maruti,2011,30000,Petrol,Individual,Manual,1,"6,66,000","3,30,000",Yes
Maruti Suzuki Swift Dzire Vxi,Maruti,2011,95000,Petrol,Individual,Manual,1,"7,02,000","3,35,000",No
Maruti Suzuki Swift Dzire Zxi,Maruti,2011,91000,Petrol,Individual,Manual,1,"7,75,000","3,40,000",No
Maruti Suzuki Swift Dzire Vdi,Maruti,2011,90000,Diesel,Individual,Automatic,1,"8,00,000","3,50,000",Yes
Maruti Suzuki Swift Dzire Vdi,Maruti,2012,85000,Diesel,Individual,Manual,1,"8,05,000","3,60,000",No
Maruti Suzuki Swift Dzire Vdi,Maruti,2012,77000,Petrol,Individual,Manual,1,"7,10,000","3,00,000",No
Maruti Suzuki Swift Dzire Vdi,Maruti,2013,855000,Diesel,Individual,Manual,1,"8,10,000","3,80,000",No
Maruti Suzuki Swift Dzire Vxi,Maruti,2013,72500,Petrol,Individual,Manual,1,"7,15,000","3,20,000",No
MarutiSuzuki Swift Dzire Vdi,Maruti,2014,89600,Diesel,Individual,Manual,1,"8,30,000","3,81,000",No
Maruti Suzuki Swift Dzire Vxi,Maruti,2014,91200,Petrol,Individual,Manual,1,"7,20,000","3,25,000",No
Maruti Suzuki Swift Dzire Vdi,Maruti,2015,56500,Diesel,Individual,Manual,1,"8,45,000","4,20,000",Yes
Maruti Suzuki Swift Dzire Vxi,Maruti,2015,84564,Petrol,Individual,Manual,1,"7,45,000","3,50,000",No
Maruti Suzuki Swift Dzire Vdi,Maruti,2016,83599,Diesel,Individual,Manual,1,"8,40,000","5,10,000",Yes
Maruti Suzuki Swift Dzire Vxi,Maruti,2016,72000,Petrol,Individual,Manual,1,"7,74,000","4,70,000",No
Maruti Suzuki Swift Dzire Vdi,Maruti,2017,71200,Diesel,Individual,Manual,1,"8,40,000","5,50,000",Yes
Maruti Suzuki Swift Dzire Vxi,Maruti,2017,96523,Petrol,Individual,Manual,1,"7,74,000","5,40,000",No
Maruti Suzuki Swift Dzire Vdi,Maruti,2013,85500,Diesel,Individual,Manual,1,"8,10,000","4,00,000",No
Maruti Suzuki Swift Dzire Vdi,Maruti,2018,50000,Diesel,Individual,Manual,1,"8,80,000","7,50,000",Yes
Maruti Suzuki Swift Dzire Vxi,Maruti,2018,45000,Petrol,Individual,Manual,1,"8,11,000","6,40,000",Yes
Maruti Suzuki Swift Dzire Vdi,Maruti,2019,65000,Diesel,Individual,Manual,1,"8,75,000","7,10,000",Yes
Maruti Suzuki Swift Dzire Vxi,Maruti,2019,60000,Petrol,Individual,Manual,1,"8,50,000","6,89,000",Yes
Maruti Suzuki Swift Dzire Vdi,Maruti,2020,39000,Diesel,Individual,Manual,1,"8,85,000","7,75,000",Yes
Maruti Suzuki Swift Dzire Vxi,Maruti,2020,59000,Petrol,Individual,Manual,1,"8,00,000","6,90,000",Yes
Maruti Suzuki Swift Dzire Vdi,Maruti,2021,50000,Diesel,Individual,Manual,1,"9,00,000","7,90,000",Yes
Maruti Suzuki Swift Dzire Vxi,Maruti,2021,40000,Petrol,Individual,Manual,1,"8,30,000","7,80,000",Yes
Maruti Suzuki Swift Dzire Vdi,Maruti,2020,50000,Diesel,Individual,Automatic,1,"9,00,000","7,90,000",Yes
Maruti Suzuki Brezza Vdi,Maruti,2016,80423,Diesel,Individual,Manual,1,"9,90,000","7,20,000",No
Maruti Suzuki Brezza Vdi,Maruti,2016,85000,Diesel,Dealer,Manual,1,"9,90,000","7,25,000",No
Maruti Suzuki Brezza Vdi,Maruti,2016,78000,Diesel,Individual,Manual,1,"9,90,000","7,35,000",Yes
Maruti Suzuki Brezza Zdi,Maruti,2016,56000,Diesel,Individual,Manual,1,"10,60,00","7,50,000",No
Maruti Suzuki Brezza Zdi,Maruti,2016,85000,Diesel,Dealer,Manual,1,"10,60,000","7,55,000",No
Maruti Suzuki Brezza Zdi,Maruti,2016,75000,Diesel,Individual,Manual,1,"10,60,000","7,65,000",Yes
Maruti Suzuki Brezza ZdiPlusDT,Maruti,2016,45000,Diesel,Individual,Manual,1,"12,00,000","7,70,000",No
Maruti Suzuki Brezza ZdiPlusDT,Maruti,2016,60000,Diesel,Dealer,Manual,1,"12,00,000","7,75,000",No
Maruti Suzuki Brezza ZdiPlusDT,Maruti,2016,62000,Diesel,Individual,Manual,1,"12,00,000","7,85,000",Yes
Maruti Suzuki Brezza ZdiPlus,Maruti,2016,78000,Diesel,Individual,Manual,1,"11,54,000","7,65,000",No
Maruti Suzuki Brezza Vdi,Maruti,2016,80423,Diesel,Individual,Automatic,2,"9,90,000","7,10,000",No
Maruti Suzuki Brezza Vdi,Maruti,2016,80423,Diesel,Individual,Automatic,3,"9,90,000","7,00,000",No
Maruti Suzuki Brezza Vdi,Maruti,2016,76000,Diesel,Individual,Automatic,3,"9,90,000","7,15,000",Yes
Maruti Suzuki Brezza Vdi,Maruti,2016,70000,Diesel,Individual,Automatic,1,"10,90,000","7,90,000",No
Maruti Suzuki Brezza Vdi,Maruti,2016,56000,Diesel,Dealer,Automatic,1,"10,90,000","7,95,000",No
Maruti Suzuki Brezza Vdi,Maruti,2016,80423,Diesel,Individual,Automatic,1,"10,90,000","8,05,000",Yes
Maruti Suzuki Brezza Ldi,Maruti,2016,75000,Diesel,Individual,Manual,1,"9,14,000","6,80,000",No
Maruti Suzuki Brezza Ldi,Maruti,2016,75000,Diesel,Dealer,Manual,1,"9,14,000","6,85,000",No
Maruti Suzuki Brezza Ldi,Maruti,2016,75000,Diesel,Dealer,Manual,1,"9,14,000","6,95,000",Yes
Maruti Suzuki Brezza Vdi,Maruti,2017,85000,Diesel,Individual,Manual,1,"9,90,000","7,21,000",No
Maruti Suzuki Brezza Vdi,Maruti,2017,81000,Diesel,Dealer,Manual,1,"9,90,000","7,26,000",No
Maruti Suzuki Brezza Vdi,Maruti,2017,78485,Diesel,Individual,Manual,1,"9,90,000","7,36,000",Yes
Maruti Suzuki Brezza Zdi,Maruti,2017,56521,Diesel,Individual,Manual,1,"10,60,00","7,51,000",No
Maruti Suzuki Brezza Zdi,Maruti,2017,85620,Diesel,Dealer,Manual,1,"10,60,000","7,56,000",No
Maruti Suzuki Brezza Zdi,Maruti,2017,75854,Diesel,Individual,Manual,1,"10,60,000","7,66,000",Yes
Maruti Suzuki Brezza ZdiPlusDT,Maruti,2017,45900,Diesel,Individual,Manual,1,"12,00,000","7,71,000",No
Maruti Suzuki Brezza ZdiPlusDT,Maruti,2017,60856,Diesel,Dealer,Manual,1,"12,00,000","7,76,000",No
Maruti Suzuki Brezza ZdiPlusDT,Maruti,2017,65000,Diesel,Individual,Manual,1,"12,00,000","7,85,000",Yes
Maruti Suzuki Brezza ZdiPlus,Maruti,2017,81623,Diesel,Individual,Manual,1,"11,54,000","7,67,000",No
Maruti Suzuki Brezza Vdi,Maruti,2017,82423,Diesel,Individual,Automatic,2,"9,90,000","7,11,000",No
Maruti Suzuki Brezza Vdi,Maruti,2017,86256,Diesel,Individual,Automatic,3,"9,90,000","7,01,000",No
Maruti Suzuki Brezza Vdi,Maruti,2017,77054,Diesel,Individual,Automatic,3,"9,90,000","7,16,000",Yes
Maruti Suzuki Brezza Vdi,Maruti,2017,74023,Diesel,Individual,Automatic,1,"10,90,000","7,92,000",No
Maruti Suzuki Brezza Vdi,Maruti,2017,65423,Diesel,Dealer,Automatic,1,"10,90,000","7,97,000",No
Maruti Suzuki Brezza Vdi,Maruti,2017,80423,Diesel,Individual,Automatic,1,"10,90,000","8,10,000",Yes
Maruti Suzuki Brezza Ldi,Maruti,2017,76423,Diesel,Individual,Manual,1,"9,14,000","6,81,000",No
Maruti Suzuki Brezza Ldi,Maruti,2017,77523,Diesel,Dealer,Manual,1,"9,14,000","6,85,000",No
Maruti Suzuki Brezza Ldi,Maruti,2017,74520,Diesel,Dealer,Manual,1,"9,14,000","6,97,000",Yes
Maruti Suzuki Brezza Vdi,Maruti,2018,45235,Diesel,Individual,Manual,1,"9,90,000","8,00,00",No
Maruti Suzuki Brezza Vdi,Maruti,2018,65000,Diesel,Dealer,Manual,1,"9,90,000","8,05,000",No
Maruti Suzuki Brezza Vdi,Maruti,2018,78485,Diesel,Individual,Manual,1,"9,90,000","8,15,000",Yes
Maruti Suzuki Brezza Zdi,Maruti,2018,56521,Diesel,Individual,Manual,1,"10,60,00","8,50,000",No
Maruti Suzuki Brezza Zdi,Maruti,2018,75000,Diesel,Dealer,Manual,1,"10,60,000","8,55,000",No
Maruti Suzuki Brezza Zdi,Maruti,2018,69532,Diesel,Individual,Manual,1,"10,60,000","7,65,000",Yes
Maruti Suzuki Brezza Vdi,Maruti,2018,74561,Diesel,Individual,Automatic,1,"10,90,000","8,08,000",No
Maruti Suzuki Brezza Vdi,Maruti,2018,45621,Diesel,Dealer,Automatic,1,"10,90,000","8,13,000",No
Maruti Suzuki Brezza Vdi,Maruti,2018,56412,Diesel,Individual,Automatic,1,"10,90,000","8,23,000",Yes
Maruti Suzuki Brezza ZdiPlus,Maruti,2018,78452,Diesel,Individual,Manual,1,"11,54,000","8,80,000",No
Maruti Suzuki Brezza ZdiPlus,Maruti,2018,75054,Diesel,Dealer,Manual,1,"11,54,000","8,85,000",No
Maruti Suzuki Brezza ZdiPlus,Maruti,2018,74215,Diesel,Individual,Manual,1,"11,54,000","8,95,000",Yes
Maruti Suzuki Brezza ZdiPlus,Maruti,2018,65423,Diesel,Individual,Automatic,1,"12,60,000","9,30,000",Yes
Maruti Suzuki Brezza Vdi,Maruti,2018,74023,Diesel,Individual,Automatic,1,"10,90,000","7,92,000",No
Maruti Suzuki Brezza Vdi,Maruti,2018,65423,Diesel,Dealer,Automatic,1,"10,90,000","7,97,000",No
Maruti Suzuki Brezza Vdi,Maruti,2018,75239,Diesel,Individual,Automatic,1,"10,90,000","8,10,000",Yes
Maruti Suzuki Brezza Ldi,Maruti,2018,76423,Diesel,Individual,Manual,1,"9,14,000","6,82,000",No
Maruti Suzuki Brezza Ldi,Maruti,2018,77523,Diesel,Dealer,Manual,1,"9,14,000","6,83,000",No
Maruti Suzuki Brezza Ldi,Maruti,2018,74520,Diesel,Dealer,Manual,1,"9,14,000","6,96,000",Yes
Maruti Suzuki Brezza Vdi,Maruti,2019,82369,Diesel,Individual,Manual,1,"9,90,000","8,20,000",No
Maruti Suzuki Brezza Vdi,Maruti,2019,75124,Diesel,Dealer,Manual,1,"9,90,000","8,25,000",No
Maruti Suzuki Brezza Vdi,Maruti,2019,65478,Diesel,Individual,Manual,1,"9,90,000","8,35,000",Yes
Maruti Suzuki Brezza Zdi,Maruti,2019,45698,Diesel,Individual,Manual,1,"10,60,000","8,85,000",No
Maruti Suzuki Brezza Zdi,Maruti,2019,44562,Diesel,Dealer,Manual,1,"10,60,000","8,90,000",No
Maruti Suzuki Brezza Zdi,Maruti,2019,41569,Diesel,Individual,Manual,1,"10,60,000","9,05,000",Yes
Maruti Suzuki Brezza Zdi,Maruti,2019,48626,Diesel,Individual,Automatic,1,"11,60,000","9,35,000",No
Maruti Suzuki Brezza Zdi,Maruti,2019,47569,Diesel,Dealer,Automatic,1,"11,60,000","9,40,000",No
Maruti Suzuki Brezza Zdi,Maruti,2019,48231,Diesel,Individual,Automatic,1,"11,60,000","9,50,000",Yes
Maruti Suzuki Brezza Vdi,Maruti,2020,45621,Diesel,Individual,Manual,1,"9,90,000","8,35,000",Yes
Maruti Suzuki Brezza Vdi,Maruti,2019,65478,Diesel,Individual,Manual,1,"9,90,000","8,35,000",Yes
Maruti Suzuki Brezza Vdi,Maruti,2020,45623,Diesel,Individual,Manual,1,"9,90,000","9,00,000",No
Maruti Suzuki Brezza Vdi,Maruti,2020,45623,Diesel,Dealer,Manual,1,"9,90,000","9,05,000",No
Maruti Suzuki Brezza Vdi,Maruti,2020,45623,Diesel,Individual,Manual,1,"9,90,000","9,15,000",Yes
Maruti Suzuki Brezza ZdiPlus,Maruti,2020,52314,Diesel,Individual,Manual,1,"11,54,000","10,00,000",No
Maruti Suzuki Brezza ZdiPlus,Maruti,2020,48567,Diesel,Dealer,Manual,1,"11,54,000","10,05,000",No
Maruti Suzuki Brezza ZdiPlus,Maruti,2020,45236,Diesel,Individual,Manual,1,"11,54,000","10,15,000",Yes
Maruti Suzuki Brezza Vxi,Maruti,2020,25461,Petrol,Individual,Manual,1,"10,16,000","9,46,000",Yes
Maruti Suzuki Brezza Vxi,Maruti,2020,21548,Petrol,Dealer,Manual,1,"10,16,000","9,50,000",Yes
Maruti Suzuki Brezza Vxi,Maruti,2020,21548,Petrol,Individual,Manual,1,"10,16,000","9,30,000",No
Maruti Suzuki Brezza ZxiPlus,Maruti,2020,29654,Petrol,Individual,Automatic,1,"13,38,000","10,30,000",Yes
Maruti Suzuki Brezza ZxiPlus,Maruti,2020,29654,Petrol,Dealer,Automatic,1,"13,38,000","10,35,000",Yes
Maruti Suzuki Brezza Lxi,Maruti,2020,40000,Petrol,Individual,Manual,1,"8,92,000","7,80,000",Yes
Maruti Suzuki Brezza Lxi,Maruti,2020,35648,Petrol,Dealer,Manual,1,"8,92,000","7,85,000",Yes
Maruti Suzuki Brezza ZxiPlus,Maruti,2021,25461,Petrol,Individual,Automatic,1,"11,54,000","10,50,000",Yes
Maruti Suzuki Brezza Vxi,Maruti,2021,4563,Petrol,Individual,Manual,1,"10,16,000","8,90,000",Yes
Maruti Suzuki Brezza Vxi,Maruti,2021,5666,Petrol,Dealer,Manual,1,"10,16,000","9,00,000",Yes
Maruti Suzuki Brezza ZxiPlusDT,Maruti,2021,10515,Petrol,Individual,Manual,1,"13,57,000","12,05,000",Yes
Maruti Suzuki Brezza ZxiPlusDT,Maruti,2021,10515,Petrol,Dealer,Manual,1,"13,57,000","12,10,000",Yes
Maruti Suzuki Brezza VxiAT,Maruti,2021,4563,Petrol,Individual,Manual,1,"11,54,000","10,00,000",Yes
Maruti Suzuki Brezza VxiAT,Maruti,2021,6985,Petrol,Individual,Manual,1,"11,54,000","10,05,000",Yes
Maruti Suzuki Brezza Lxi,Maruti,2021,10569,Petrol,Individual,Manual,1,"8,92,000","7,80,000",Yes
Maruti Suzuki Swift Vdi,Maruti,2010,85642,Diesel,Individual,Manual,1,"6,60,000","2,45,000",No
Maruti Suzuki Swift Vdi,Maruti,2010,82314,Diesel,Dealer,Manual,1,"6,60,000","2,50,000",No
Maruti Suzuki Swift Vdi,Maruti,2010,82314,Diesel,Individual,Manual,1,"6,60,000","2,50,000",Yes
Maruti Suzuki Swift Vdi,Maruti,2010,81456,Diesel,Individual,Manual,2,"6,60,000","2,20,000",No
Maruti Suzuki Swift Vxi,Maruti,2010,70000,Petrol,Individual,Manual,1,"5,30,000","2,15,000",No
Maruti Suzuki Swift Vxi,Maruti,2010,85124,Petrol,Dealer,Manual,1,"5,30,000","2,20,000",No
Maruti Suzuki Swift Vxi,Maruti,2010,85124,Petrol,Individual,Manual,1,"5,30,000","2,25,000",Yes
Maruti Suzuki Swift Vdi,Maruti,2011,95648,Diesel,Individual,Manual,1,"6,60,000","2,52,000",No
Maruti Suzuki Swift Vxi,Maruti,2011,100000,Petrol,Individual,Manual,2,"5,30,000","2,20,000",No
Maruti Suzuki Swift Vxi,Maruti,2011,100000,Petrol,Individual,Manual,1,"5,30,000","2,47,000",No
Maruti Suzuki Swift Vdi,Maruti,2012,80452,Diesel,Individual,Manual,1,"7,07,000","3,20,000",No
Maruti Suzuki Swift Vdi,Maruti,2012,89269,Diesel,Dealer,Manual,1,"7,07,000","3,25,000",No
Maruti Suzuki Swift Vdi,Maruti,2012,87569,Diesel,Individual,Manual,1,"7,07,000","3,35,000",Yes
Maruti Suzuki Swift Zdi,Maruti,2012,82458,Diesel,Individual,Manual,1,"7,96,000","3,90,000",No
Maruti Suzuki Swift Zdi,Maruti,2012,84623,Diesel,Dealer,Manual,1,"7,96,000","3,95,000",No
Maruti Suzuki Swift Zdi,Maruti,2012,92456,Diesel,Individual,Manual,1,"7,96,000","4,00,000",No
Maruti Suzuki Swift Zxi,Maruti,2012,70000,Diesel,Individual,Manual,1,"6,70,000","3,00,000",No
Maruti Suzuki Swift Zxi,Maruti,2012,71486,Diesel,Dealer,Manual,1,"6,70,000","3,05,000",No
Maruti Suzuki Swift Zxi,Maruti,2012,70694,Diesel,Individual,Manual,1,"6,70,000","3,15,000",Yes
Maruti Suzuki Swift Vdi,Maruti,2013,91000,Diesel,Individual,Manual,1,"7,07,000","4,00,000",No
Maruti Suzuki Swift Vdi,Maruti,2013,91256,Diesel,Dealer,Manual,1,"7,07,000","4,05,000",No
Maruti Suzuki Swift Vdi,Maruti,2013,92368,Diesel,Individual,Manual,1,"7,07,000","4,15,000",No
Maruti Suzuki Swift Vxi,Maruti,2013,74532,Petrol,Individual,Manual,1,"5,30,000","3,75,000",No
Maruti Suzuki Swift Vxi,Maruti,2013,72365,Petrol,Dealer,Manual,1,"5,30,000","3,80,000",No
Maruti Suzuki Swift Vxi,Maruti,2013,76398,Petrol,Individual,Manual,1,"5,30,000","3,90,000",Yes
Maruti Suzuki Swift VxiAT,Maruti,2013,77816,Petrol,Individual,Automatic,1,"6,26,000","4,30,000",Yes
Maruti Suzuki Swift Zxi,Maruti,2014,84266,Petrol,Individual,Manual,1,"6,70,000","4,70,000",No
Maruti Suzuki Swift Zxi,Maruti,2014,82318,Petrol,Dealer,Manual,1,"6,70,000","4,75,000",No
Maruti Suzuki Swift Zxi,Maruti,2014,88569,Petrol,Individual,Manual,1,"6,70,000","4,85,000",No
Maruti Suzuki Swift Vdi,Maruti,2014,92368,Diesel,Individual,Manual,1,"7,07,000","4,40,000",No
Maruti Suzuki Swift Vdi,Maruti,2014,68259,Diesel,Dealer,Manual,1,"7,07,000","4,45,000",No
Maruti Suzuki Swift Vdi,Maruti,2014,97000,Diesel,Dealer,Manual,1,"7,07,000","4,50,000",No
Maruti Suzuki Swift Vdi,Maruti,2014,86947,Diesel,Individual,Manual,1,"7,07,000","4,60,000",Yes
Maruti Suzuki Swift Zdi,Maruti,2014,72369,Diesel,Individual,Manual,1,"7,96,000","5,00,000",Yes
Maruti Suzuki Swift Vxi,Maruti,2015,82483,Petrol,Individual,Manual,1,"7,20,000","4,90,000",No
Maruti Suzuki Swift Vxi,Maruti,2015,81429,Petrol,Dealer,Manual,1,"7,20,000","4,95,000",No
Maruti Suzuki Swift Vxi,Maruti,2015,81429,Petrol,Individual,Manual,1,"7,20,000","5,05,000",Yes
